,Real,Prediccion
0,402545.92,390566.5883945173
1,340820.88,370084.5770847392
2,439635.23,412017.3718287295
3,444227.96,458781.8678537196
4,411743.65,387104.1334666705
5,321578.47,357323.4723201948
6,285815.4,318126.1854668611
7,353404.13,343532.7574606299
8,323353.36,328313.395665507
9,303009.44,320867.50480734196
10,349262.02,347582.0931687188
11,373185.75,391347.93610402703
12,441525.97,418809.31296146155
13,400131.96,404764.7512225902
14,444962.56,431491.5333124149
15,440238.65,435280.5160683763
16,398669.5,397943.6496789056
17,375222.16,369755.3257842809
18,345696.6,348361.91408312676
19,390551.21,355084.18659252167
20,343913.12,379059.7664384365
21,370785.09,366509.4694372219
22,411788.37,387901.98706917226
23,400382.11,409355.53524046065
24,447406.51,423991.2417819303
25,334829.58,389853.4375328863
26,351168.75,409640.1518552864
27,445291.19,424334.8119445592
28,405108.5,401324.1253382254
29,369361.59,376593.29084863904
30,397876.41,373350.1029542804
31,373264.75,384656.8322225654
32,394983.72,389115.59660632134
33,401769.55,382119.8627147812
34,367471.66,385233.5206138849
35,412433.1,403254.73711203696
36,404830.99,416954.05058915855
37,401654.87,385355.43038854183
38,455313.21,404322.72340826393
39,480437.56,433924.47442961694
40,420364.44,412776.4228277892
41,355764.53,398474.56172699394
42,388300.7,389030.6600319666
43,374283.76,387149.4008782011
44,407718.37,390037.6432986772
45,378914.17,375261.6504216862
46,347784.4,377894.87679543556
47,433572.22,426399.2452458036
48,426671.05,427174.4995298171
49,410467.94,395192.7362881231
50,477412.99999999994,416560.46757076384
51,465514.49999999994,439277.41805639386
52,420865.85,420154.32316173794
53,361670.94,398874.9259164262
54,349058.96,372290.3145849061
55,359302.14,388469.7210135436
56,431229.78,382125.6122675067
57,386634.74,378742.3443612892
58,368913.83,390369.9069246066
59,500296.68999999994,433423.42429293337
60,500065.91,467384.285369103
61,426676.68,438634.73360292794
62,509905.50000000006,471240.4058448095
63,483083.39999999997,472215.58775768883
64,479315.0300000001,449591.2490866548
65,411730.34,416566.8360944766
66,408195.98,374316.57800860645
67,372509.28,408265.01840029954
68,416891.07,403425.1742120904
69,381866.95,392416.5001065087
70,424591.26,399686.0805176973
71,473413.30000000005,463093.5234661842
72,467063.26,467618.5039906598
73,476748.06,442245.20512618066
74,542396.25,489346.6414467812
75,490555.6,475929.991387148
76,466856.14999999997,461767.385003562
77,407638.09,407782.61992269696
78,395400.62,378986.4665186411
79,427696.05,402927.2189303428
80,368455.91,401979.7531627792
81,399331.58,390561.4715676898
82,457574.95,427561.39766155
83,460290.06,477730.12407685764
84,499716.4,492198.6946968723
85,450476.19,460057.91093111096
86,535677.84,494677.852314452
87,504546.0200000001,486490.7505765695
88,534543.48,475049.5257902212
89,398404.96,428341.9750960535
90,450877.8,414694.29755417525
91,428479.66,421217.7428275705
92,414495.98,404285.9152668917
93,494000.61,425020.1916412312
94,464784.62999999995,454519.48233183625
95,552294.45,492703.22482599504
96,493283.94,521785.5629047108
97,443117.85,488338.4202380962
98,518549.17999999993,522595.5896032942
99,492319.72000000003,492657.0908550823
100,478406.27,476229.0919230742
101,357812.36,424020.11333975557
102,390810.46,424978.9131538403
103,427392.17,416154.62892682257
104,371181.32,410867.90144076524
105,413662.24,433670.13237352076
106,347300.32,436101.95934294583
107,422234.15,463036.7294393808
108,534598.47,488774.13454835303
109,475139.98999999993,450108.4474886489
110,531258.38,524607.3828608049
111,553595.8,497765.19706914434
112,510570.95,491611.88269118435
113,422063.15,444546.71807043377
114,442585.44,422475.0654713267
115,381162.61,427029.9629268503
116,415628.83,397204.37824161473
117,465932.12000000005,444080.8942603773
118,436641.83,437203.43884703575
119,498780.8,494250.2396466721
120,476221.4000000001,519540.0462024332
121,441161.18,472669.33475603943
122,542651.55,517213.4855655647
123,472650.29000000004,501220.045531304
124,477762.3,477068.3753169859
125,421495.49,427686.8424482894
126,413424.59,396345.74168816983
127,354119.76,396961.8378990078
128,338695.2,386117.5762425375
129,378412.62,404591.87950332044
130,423296.49,403865.55143711745
131,458119.02,458852.2242225981
132,497857.54,492653.43204880244
133,445327.98,470091.21055506176
134,579601.89,521302.79304451594
135,502634.18,508076.4834409023
136,446407.84,488598.16797414725
137,410054.86,430697.2422318173
138,373953.09,404069.3579508364
139,427016.48,404720.6667333907
140,396856.04,396570.8408038485
141,420089.92,418581.7929814774
142,437079.3,441464.77899569634
143,507980.03,469187.49915883783
144,538230.28,499459.16935709363
145,442361.1,461287.0910273159
146,531934.98,521531.2070937038
147,509247.98,478749.22542000655
148,530974.73,479123.5790730656
149,465346.1099999999,453647.28343631624
150,475375.43,423446.4647837287
151,484192.97,429258.58859863284
152,456094.44,424246.7117407143
153,489991.04999999993,436125.6040346569
154,514480.80999999994,470347.20320045715
155,509762.92000000004,496879.35330208426
156,554131.78,535152.2276183999
157,550033.59,495882.34234572295
158,571138.09,579909.4144868088
159,549135.34,552558.8747008158
160,557991.05,510544.0319137443
161,511356.29999999993,482691.1627843607
162,504578.41,475856.3063298494
163,494746.27,487229.59561162477
