,Real,Prediccion
0,465652.57,475120.0059532971
1,523527.8499999999,496462.9371317173
2,461196.71,498645.67642098194
3,567009.57,519837.92255129584
4,683435.82,560201.1581757641
5,571935.42,582636.4080876637
6,586160.61,601005.6513395525
7,565738.12,583980.2078557874
8,569043.76,573035.7279190338
9,519747.58,543383.7164535201
10,558417.16,516428.3827653993
11,486206.0999999999,507923.418793223
12,486884.59,506585.7812251497
13,514546.72,544531.3987030769
14,454764.01,519540.29379082803
15,578725.35,569686.7097407747
16,635823.3,595082.1815215064
17,551904.37,598323.0861006678
18,653674.06,607196.5716437126
19,669261.1,601504.5694650579
20,589590.44,606042.3695664239
21,484627.0,542572.4243031407
22,536339.55,508934.67983720073
23,515302.01999999996,489706.19481579075
24,528032.53,514877.3240009392
25,533272.02,541673.623410082
26,541148.61,519255.01694028266
27,633388.27,597352.7871811319
28,617431.76,672480.8446646787
29,567375.96,622807.5701373483
30,641680.32,652727.197147906
31,618028.62,629483.6261463655
32,588223.58,628680.3393540872
33,557647.23,567730.2662444306
34,499344.00999999995,546514.3616674949
35,556195.46,526285.0143146921
36,530960.43,521713.8998193038
37,508777.31999999995,535965.1703580786
38,556343.13,543495.8739964009
39,633414.08,609428.4434744501
40,710863.93,656830.397086792
41,594005.52,620559.4675118352
42,719635.54,689467.8844374156
43,646463.17,681544.5606244565
44,634537.1,641320.4971877325
45,567564.37,596973.7293485702
46,558762.1,555377.3384586681
47,607231.3,586224.3490669824
